cust_id,applicant_age,loan_id,amt_req,rent_own,mthly_rent_amt,bank_acct_dd,loan_dur,pmt_ach,nm_pmt,pmt_amt,amt_aprv,dur_aprv,pmt_amt_aprv,county,primary_city,state,domain,bank_nm,email_dur,res_dur,bank_acct_dur,pmt_freq,home_phone_type,has_other_phone,how_use_money,mthly_income_amt,raw_l2c_score,raw_FICO_telecom,raw_FICO_retail,raw_FICO_bank_card,raw_FICO_money,flgGood,req_inc_ratio,rent_ratio,pmt_ratio,pmt_amt_apv_match,amt_apv_match,name
3e4519270a,59,1,500,1,500,1,5,1,5,193.91,500,5,193.91,Minnehaha County,Baltic,SD,aol.com,Unknown,1 year or more,1-2 years,1-2 years,Monthly,Mobile,0,Bills (General),3000,541,620,653,674,629,0,16.66666667,16.66666667,0.06463666700000001,1,1,qq
a7ff4f3fd5,44,1,500,1,1025,0,3,1,6,138.48,500,3,138.48,Lincoln County,Canton,SD,aol.com,Unknown,1 year or more,3+ years,7-12 months,Semi-monthly,Mobile,1,Other,4000,588,522,517,643,573,1,12.5,25.625,0.03462,1,1,yuqing
3466ce11fa,53,1,500,0,500,1,6,1,13,77.39,500,6,77.39,Minnehaha County,Colton,SD,aol.com,Unknown,4-12 months,3+ years,7-12 months,Bi-weekly,Mobile,0,Other,3624,593,562,583,680,615,1,13.79690949,13.79690949,0.021354857,1,1,yuqing
e2c803a12c,33,1,500,1,350,1,5,1,5,193.91,500,5,193.91,Minnehaha County,Dell Rapids,SD,yahoo.com,SIOUX FALLS FEDERAL CREDIT UNION,1 year or more,3+ years,3+ years,Monthly,Home,1,Bills (Auto),1571,544,517,539,628,582,0,31.82686187,22.27880331,0.12343093599999999,1,1,jack ma
6fc1957477,40,1,500,0,850,1,6,1,13,77.39,500,6,77.39,Lincoln County,Harrisburg,SD,bing.com,Unknown,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,0,Bills,1250,336,586,579,680,628,0,40.0,68.0,0.061912,1,1,yuqing
e5e34472d3,45,1,500,0,1803,1,6,1,6,171.75,500,6,171.75,Union County,North Sioux City,SD,aol.com,Unknown,1 year or more,3+ years,1-2 years,Monthly,Mobile,1,Other,4175,765,555,585,680,605,0,11.976047900000001,43.18562874,0.041137725,1,1,yuqing
d6eccdda7d,49,1,500,0,476,1,6,1,13,77.39,500,6,77.39,Minnehaha County,Renner,SD,yahoo.com,HOME FEDERAL BANK,1 year or more,3+ years,3+ years,Bi-weekly,Home,0,Car,3400,586,587,628,661,616,0,14.70588235,14.0,0.022761765,1,1,jack ma
4c203dce81,53,1,500,0,0,1,5,1,5,193.91,500,5,193.91,McCook County,Salem,SD,gmail.com,Unknown,1 year or more,3+ years,7-12 months,Monthly,Home,1,Bills (Auto),1504,596,550,539,668,578,0,33.24468085,0.0,0.128929521,1,1,jack ma
b0d8806c09,38,1,700,1,400,1,8,1,13,77.39,500,6,77.39,McCook County,Salem,SD,hotmail.com,SERVICE FIRST FEDERAL CREDIT UNION,1 year or more,1-2 years,3+ years,Bi-weekly,Mobile,1,Bills (Home / Utilities),1400,528,597,631,654,598,1,50.0,28.57142857,0.055278571,1,0,xxd
fbee9e84fb,50,1,300,0,782,1,3,1,6,83.09,300,3,83.09,Bon Homme County,Springfield,SD,bing.com,HOME FEDERAL BANK,1 year or more,3+ years,3+ years,Semi-monthly,Home,1,Pay off loans / overdrawn acct,2096,492,552,573,680,606,1,14.312977100000001,37.30916031,0.039642176,1,1,xxd
34bfacce90,21,1,500,1,275,1,5,1,5,193.91,500,5,193.91,Clay County,Vermillion,SD,bing.com,Unknown,1 year or more,7-12 months,3+ years,Monthly,Mobile,1,Rent / Mortgage,1600,716,570,618,596,571,1,31.25,17.1875,0.12119375,1,1,xxd
5333a9edaf,47,1,500,1,580,0,6,1,13,77.39,500,6,77.39,Clay County,Wakonda,SD,yahoo.com,Unknown,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,0,Bills,4000,644,564,610,641,601,1,12.5,14.5,0.0193475,1,1,xuxiaodong
0e3bd4d42d,32,1,500,1,350,0,5,1,10,94.7,500,5,94.7,Yankton County,Yankton,SD,aol.com,Unknown,1 year or more,1-2 years,7-12 months,Semi-monthly,Mobile,1,Bills (Auto),1700,529,524,543,642,587,0,29.41176471,20.58823529,0.055705882000000005,1,1,jack ma
3c182138f2,44,1,400,1,100,0,6,1,13,61.91,400,6,61.91,Minnehaha County,Sioux Falls,SD,hotmail.com,Unknown,1 year or more,3+ years,1-2 years,Bi-weekly,Mobile,1,Bills (Medical),1550,581,578,611,643,607,0,25.80645161,6.451612902999999,0.039941935,1,1,yq
